Communes,Site,Adresse,Localisation box,Techno,Opérateur,N° Marché,N° Contrat,N° Mandat,Hotline,Ligne support,Référence opérateur,IP Fixe,vlan,Débit,GTR Hebdo,GTR (h),Dégroupage (Partiel/Total),Coût (TTC/mois)
Bordeaux,ELEMENTAIRE ACHARD,12 cité lartigue,,,Numéricâble Pro,,87013582,,08 25 33 08 25,,87013582,,,,,,,
Bordeaux,GS RAYMOND POINCARE,avenue raymond poincaré,,,Numéricâble Pro,,80597316,,08 25 33 08 25,,80597316,212.198.244.235,,,,,,
Bordeaux,ELEMENTAIRE STEHELIN,1 Rue Domion,,,Numéricâble Pro,,86129881,,08 25 33 08 25,,86129881,212.198.6.49,,,,,,
Bordeaux,MATERNELLE ST ANDRE,rue masson,,,Numéricâble Pro,,84387135,,08 25 33 08 25,,84387135,212.198.42.230,,,,,,
Bordeaux,ELEMENTAIRE HENRI IV,50 rue Henri IV,,,Numéricâble Pro,,84387166,,08 25 33 08 25,,84387166,212.198.42.226,,,,,,
Bordeaux,ELEMENTAIRE ALPHONSE DUPEUX,7 rue alphonse Dupeux,,,Numéricâble Pro,,84369711,,08 25 33 08 25,,84369711,,,,,,,
Bordeaux,ELEMENTAIRE LOUCHEUR,Rue Marcel Issartier,,,Numéricâble Pro,,84387142,,08 25 33 08 25,,84387142,212.198.42.229,,,,,,
Bordeaux,ELEMENTAIRE BEL AIR ,3 rue victor Caffin,,,Numéricâble Pro,,86132250,,08 25 33 08 25,,86132250,,,,,,,
Bordeaux,ELEMENTAIRE FRANC SANSON,104 Quai de la souys,,,Numéricâble Pro,,84370214,,08 25 33 08 25,,84370214,,,,,,,
Bordeaux,MATERNELLE CARLE VERNET,8 rue Oscar et Jean Auriac,,,Numéricâble Pro,,84370160,,08 25 33 08 25,,84370160,212.198.42.190,,,,,,
Bordeaux,ELEMENTAIRE LABARDE,156 Avenue Labarde,,,Numéricâble Pro,,86132052,,08 25 33 08 25,,86132052,,,,,,,
Bordeaux,ECOLE MATERNELLE JULES FERRY,100 Rue Jules ferry,,,Numéricâble Pro,,84387159,,08 25 33 08 25,05 56 42 13 81,84387159,,,,,,,
Bordeaux,ELEMENTAIRE PAUL LAPIE,Place Martyrs Résistance Caudéran,,,Numéricâble Pro,,80597217,,08 25 33 08 25,,80597217,212.198.244.105,,,,,,
Bordeaux,GROUPE SCOLAIRE PINS FRANCS,4 Rue Jude,,,Numéricâble Pro,,86132243,,08 25 33 08 25,,86132243,,,,,,,
Bordeaux,ECOLE ELEMENTAIRE JULES FERRY,100 Rue Jules Ferry,,,Numéricâble Pro,,84727874,,08 25 33 08 25,,84727874,212.198.43.147,,,,,,
Bordeaux,ECOLE ELEMENTAIRE CAZEMAJOR ,52 rue Cazemajor ,,,Numéricâble Pro,,86132069,,08 25 33 08 25,,86132069,,,,,,,
Bordeaux,Hôtel de Ville,"Place Pey Berland 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV546944,,,,,,,
Bordeaux,Espace Vert Le Haillan,"Rue Moulineau 33185 LE HAILLAN",,,Orange Intracité,,,,08 00 25 20 00,,VV558413,,"237, 261, 278, 300, 301, 302, 321, 442",,,,,
Bordeaux,Bibliothèque Benauge,"18 Rue Alexandre Fleming 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV546952,,"15, 256, 278, 301, 302, 308, 321, 332, 501 ",,,,,
Bordeaux,BIBLIOTHEQUE BENAUGE,"18 Rue Alexandre Fleming 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV836113,,"15, 256, 278, 301, 302, 308, 321, 332, 501 ",,,,,
Bordeaux,Crèche du Grand Parc,"41 Rue Robert Shuman 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV841009,,"122, 193, 300, 441, 501, 502",,,,,
Bordeaux,LABB du Grand Parc,"36 Rue Louis Gendreau 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV841012,,"121, 278, 301, 302, 321",,,,,
Bordeaux,MAIRIE ANNEXE CAUDERAN,"130 avenue Louis Barthou 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV832145,,"220, 256, 270, 280, 501, 278, 301, 302, 308, 321, 502",,,,,
Bordeaux,Crèche Collective d'Ornano,"300 rue d'Ornano 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV669777,,"187, 441, 901",,,,,
Bordeaux,Centre Médico Scolaire Nuits,"47 Rue des Nuits 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV662014,,"205, 321, 901",,,,,
Bordeaux,Piscine Judaïque,"166 Rue Judaïque 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670069,,"179, 270, 300, 256, 261, 278,301, 302, 308, 321 ",,,,,
Bordeaux,Piscine Tissot,"50 Rue Léon Blum 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV669779,,"178, 270, 300",,,,,
Bordeaux,Crèche Collective Albert Barraud,"15 Rue du Docteur Barraud 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670072,,"192, 300, 321, 441, 501, 502",,,,,
Bordeaux,Crèche Collective Chartrons,"64 Rue de Leybardie 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670077,,"183, 441, 901",,,,,
Bordeaux,Crèche Collective et Multi Claveau,"135 Rue Joseph Brunet 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV567937,,"184, 441, 901",,,,,
Bordeaux,Crèche Collective Gaspard Philippe,"11 Rue Gaspard Philippe 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670079 ,,"197, 208, 300, 441",,,,,
Bordeaux,Centre Médico Scolaire Charles de Gaulle,"30 Avenue Général de Gaulle 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV662001,,901,,,,,
Bordeaux,Crèche Collective des Douves,"65 Rue des Douves 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670082,,"901, 207, 441",,,,,
Bordeaux,Centre Médico Scolaire Gouffrand,"9 Rue Gouffrand 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV662008,,901,,,,,
Bordeaux,Centre Médico Scolaire Vilaris,"10 Rue Vilaris 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV662045,,"203, 321, 901",,,,,
Bordeaux,Crèche Cité Administrative,"2 Rue Jules Ferry 33200 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670096,,"188, 441, 501, 502 901",,,,,
Bordeaux,Piscine Galin,"3 Rue Galin 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670090,,"235, 270, 300",,,,,
Bordeaux,Crèche Collective Carreire,"23 Rue C. St Saëns 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670099 ,,"189, 300, 501, 502, 441",,,,,
Bordeaux,Crèche Collective Bordeaux Centre,"104 Rue François de Sourdis 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670110,,901,,,,,
Bordeaux,Halte Garderie Arc en Ciel,"Avenue Laroque Résid Bât KB1 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670113,,"190, 441, 901",,,,,
Bordeaux,Crèche Jean Marqaux,"208 Cours Argonne 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670116,,"159, 441, 901",,,,,
Bordeaux,Crèche Barreyre,"97 Rue Barreyre 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670119,,"163, 441, 901",,,,,
Bordeaux,Espace Vert Parc Bordelais,"1 Rue Godard 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV637797,,901,,,,,
Bordeaux,Crèche Collective St Augustin,"Cité de l'Eglise St Augustin 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670121 ,,"186, 441, 901",,,,,
Bordeaux,Espace Vert Bordeaux Nord,"31 Rue Barillet Deschamps 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV571770,,901,,,,,
Bordeaux,Crèche familiale Armand Faulat,"15 Place Lopès 33200 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV568163 ,,"185, 441, 901",,,,,
Bordeaux,Stade Galin,"Rue Galin 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV747975,,"300, 901",,,,,
Bordeaux,Crèche collective Benauge,"7 Rue Raymond Poincaré 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670124 ,,"901, 215, 441",,,,,
Bordeaux,Bibliothèque St Michel - Capucins,"10 Place des Capucins 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV685374,,"21, 256, 278, 301, 302, 321, 332, 501",,,,,
Bordeaux,Espace Vert Bordeaux Caudéran,"27 Rue des pins francs 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV637799,,901,,,,,
Bordeaux,Crèche Carles Vernet,"9 Rue du Prof Devaux 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670127,,"213, 300, 441",,,,,
Bordeaux,Espace Vert Bordeaux Lac,"Rue du petit miot 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV637801,,901,,,,,
Bordeaux,Stade Chaban Delmas,"Avenue Parc de Lescure 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV747966,,"278, 300, 301, 302, 321, 501, 901",,,,,
Bordeaux,Espace Vert Grand Parc,"25 Rue Lucien Dufau 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV637803,,901,,,,,
Bordeaux,La Parentèle,"2 Rue Courpon 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670131,,901,,,,,
Bordeaux,Maison du jardinier,"174 Rue Mandron 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV637805,,901,,,,,
Bordeaux,Crèche Georges V,"154 Bld Georges V 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670138,,"197, 441, 901",,,,,
Bordeaux,Espace Vert Bordeaux Sud,"32 bis rue du professeur Deveaux 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV637807,,901,,,,,
Bordeaux,Familiale Bordeaux Nord,"Avenue Laroque Résid Lac Bât JB1 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670143,,901,,,,,
Bordeaux,Espace Vert Bordeaux Bastide,"32 Rue Paul Baudenon 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV637809,,901,,,,,
Bordeaux,Dépôt du Haillan,"13 Avenue Pasteur 33185 LE HAILLAN",,,Orange Intracité,,,,08 00 25 20 00,,VV637811,,901,,,,,
Bordeaux,Cimetière Nord,"111 Avenue Jean Jaurès 33520 BRUGES",,,Orange Intracité,,,,08 00 25 20 00,,VV547425,,"206, 300 remplace le 901",,,,,
Bordeaux,Espaces verts Bois de Bordeaux,"Chemin de Pernon 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV637813,,901,,,,,
Bordeaux,Crèche des Argentiers,"3/5 Rue des Argentiers 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670145,,"901, 157, 441",,,,,
Bordeaux,Propreté Paludate,"101 Quai Paludate 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV725547,,901,,,,,
Bordeaux,Bibliothèque Bacalan,"196 Rue Achard 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547358,,"14, 256",,,,,
Bordeaux,Bibliothèque Son Tay,"40 Rue Lafitteau 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV546998,,"22, 256, 321",,,,,
Bordeaux,Bibliothèque Tauzin,"50 Rue Tauzin 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV546675,,"23, 256, 278, 300, 301, 302, 321, 332",,,,,
Bordeaux,Objets trouvés,"99 Rue Abbé de l'Epée 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547409,,901,,,,,
Bordeaux,Permanence des Elus Bordeaux Centre - Permanence Municipale Albret,Pas d'adresse,,,Orange Intracité,,,,08 00 25 20 00,,VV547325,,"152, 256, 278, 301, 302, 321, 501",,,,,
Bordeaux,Mairie Annexe La Bastide,"42 Rue de nuits 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547239,,"124, 219, 256, 261, 270, 280, 300, 501, 278, 301, 302, 321, 502 ",,,,,
Bordeaux,Pôle Malbec,"250 Rue Malbec 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV751997,,"180, 256, 261, 278, 300, 301, 302, 321, 441, 501, 502",,,,,
Bordeaux,Pôle Malbec,"250 Rue Malbec 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV840263 ,,"180, 256, 261, 278, 300, 301, 302, 321, 501, 502",,,,,
Bordeaux,Maison de la Justice,"2 Place Ravezie 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547116,,"164, 256, 261, 278, 300, 301, 302, 321, 501",,,,,
Bordeaux,Propreté Caudéran 2,"10 Impasse Gallilée 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547122,,901,,,,,
Bordeaux,RAM Prunier,"121 Rue Prunier 33800 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV670149 ,,901,,,,,
Bordeaux,Pôle Sénior Manon Cormier,"68 Rue Manon Cormier 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547016,,"36, 278, 301, 302, 321, 501",,,,,
Bordeaux,Pôle Sénior Queyries,"13 Allée Jean Giono 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547275,,"36, 501, 502",,,,,
Bordeaux,Pôle Sénior Chantecrit,"45 Rue Cdt Hautreux 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547022,,"36, 501, 502",,,,,
Bordeaux,Pôle Sénior Alfred Smith,"30 Rue Alfred Smith 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547003,,"36, 441, 501",,,,,
Bordeaux,Pôle Sénior Reinette,"16 Cité Reinette 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547020,,"36, 501, 502",,,,,
Bordeaux,Pôle Sénior Alsace Lorraine,"15 Cours Alsace Lorraine 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV671767,,"36, 256, 261, 278, 301, 302, 308, 321, 501, 502",,,,,
Bordeaux,Pôle Sénior Magendie,"45 Rue Magendie 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV546953,,"36, 321, 441, 501, 502",,,,,
Bordeaux,Pôle Sénior Billaudel,"112 bis Rue Malbec 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547309,,"36, 501, 502, 321",,,,,
Bordeaux,Pôle Sénior Armand Faulat,"Place Armand Faulat  33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547269,,"36, 321, 501, 502, 228",,,,,
Bordeaux,CCAS - Foyer Matériel : Les Douves,"65 Rue des Douves 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547403,,"145, 321, 501, 502",,,,,
Bordeaux,CCAS - Repos maternelle,"6 Avenue Lestage 33170 GRADIGnaN",,,Orange Intracité,,,,08 00 25 20 00,,VV547258,,"144, 501, 502, 590",,,,,
Bordeaux,CCAS - Centre Leydet,"6 Rue Leydet 33800 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV659498,,"28, 143, 278, 300, 301, 302, 308, 321, 501, 502",,,,,
Bordeaux,Antenne Sportive S2,"6 Cours Jules Ladoumegue 33300 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547000,,901,,,,,
Bordeaux,Mairie Annexe Bordeaux Sud,"7 Rue StVincent de Paul 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV546999,,"153, 256, 278, 301, 302, 321, 501, 502",,,,,
Bordeaux,Mairie Annexe Bordeaux Sud,"7 Rue StVincent de Paul 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV840269 ,,"153, 256, 278, 301, 302, 321, 501, 502",,,,,
Bordeaux,CCAS - EHPAD/RPA MARYSE BASTIE,"Rue Maryse Bastié 33063
BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV547126,,"28, 148, 278, 300, 301, 302, 321, 501, 502",,,,,
Bordeaux,Stade Stéhélin,"Rue de Stéhélin  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV747971,,"158, 300, 501",,,,,
Bordeaux,Cimetière Pins Francs,"32 rue Soubiras  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV609048,,"209, 501",,,,,
Bordeaux,Club Séniors des Aubiers,"196 rue Gabriel Frizeau  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV616337,,"149, 278, 300, 301, 302, 321, 501",,,,,
Bordeaux,Groupe Scolaire Vaclav Havel,"rue Xavier Arsene-Henry  33063 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV630764,,"300, 501, 502, 212",,,,,
Bordeaux,Salle Municipale La Pergola,"rue Fernand Cazères  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV648607,,"138, 278, 300, 301, 302, 308, 501",,,,,
Bordeaux,Salle Municipale La Pergola,"Rue Fernand Cazères  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV813983 ,,"138, 278, 300, 301, 302, 308, 501",,,,,
Bordeaux,Gymnase Brun,"55, rue Brun  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV652162,,300,,,,,
Bordeaux,Gymnase Malleret,"41, rue Malleret  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV652172,,300,,,,,
Bordeaux,Gymnase Promis,"35, rue Cénac  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV652180,,300,,,,,
Bordeaux,Mairie de Quartier Fondaudège,"89, rue Fondaudège  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV840279 ,,"137, 278, 301, 302, 321, 501",,,,,
Bordeaux,Halle des Chartrons,"4 rue Sicard  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV695770,,"278, 301, 302, 308, 321",,,,,
Bordeaux,EHPAD de Lussy,"10 avenue Bel Air  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV672978,,"136, 278, 300, 301, 302, 321, 501",,,,,
Bordeaux,Atelier Brach,"35 rue Brach  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV690218,,"135, 278, 301, 302, 321, 501",,,,,
Bordeaux,Magasin Municipal Mutualisé,"31 avenue du Docteur Schinazi  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV702544,,"134, 278, 300, 301, 302, 304, 321, 501, 502",,,,,
Bordeaux,Salle du Point du Jour,"44, rue Joseph Brunet  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV718575,,"132, 278, 300, 301, 302, 308, 501",,,,,
Bordeaux,Maison des Projets des Aubiers,"51, cours des Aubiers  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV718570,,"129, 278, 300, 301, 302, 308, 321, 501",,,,,
Bordeaux,Gymnase Virginia,"30, rue Virginia  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV729716,,"130, 278, 300, 301, 302, 308, 501",,,,,
Bordeaux,RPA ACHARD,"111 rue Achard  33300 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV738218,,"126, 278, 301, 302, 321, 501",,,,,
Bordeaux,RPA DUBOURDIEU,"73 rue Dubourdieu  33800 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV738223,,"127, 278, 301, 302, 321, 501",,,,,
Bordeaux,RPA BUCHOU,"25 rue Buchou  33000 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV738230,,"128, 278, 301, 302, 321, 501",,,,,
Bordeaux,Mairie Annexe de Quartier Bastide,"38 rue de Nuits  33100 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV801417,,"219, 270, 278, 300, 301, 302, 321, 501",,,,,
Bordeaux,Club Sénior Gelé de Francony,"4 rue Laporte  33200 Bordeaux",,,Orange Intracité,,,,08 00 25 20 00,,VV751991,,"240, 278, 300, 301, 302, 321, 501, 502",,,,,
Bordeaux,Club Senior Jardin Public,"142 Rue du Jardin Public  33300 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV782371,,"125, 278, 300, 301, 302, 321, 501",,,,,
Bordeaux,Stade Charles Martin,"Rue Charles Martin  33300 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV784487,,"195, 278, 300, 301, 302, 321, 501",,,,,
Bordeaux,La Dune,"156 Boulevard de la Côte d'Argent  33120 ARCACHON",,,Orange Intracité,,,,08 00 25 20 00,,VV784503,,"210, 278, 300, 301, 302, 321, 501",,,,,
Bordeaux,Mairie de Quartier Bordeaux Sud,"13 Place Canteloup,  33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV840297 ,,"139, 278, 301, 302, 321, 501",,,,,
Bordeaux,HALLES DE DOUVES,"Rue des Douves,  33800 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV792345,,"162, 256, 278, 300, 301, 302, 321, 501, 502",,,,,
Bordeaux,Repos Maternel Gradignan,"6 Avenue Lestage  33170 GRADIGNAN",,,Orange Intracité,,,,08 00 25 20 00,,VV801595,,"144, 278, 300, 301, 302, 321, 501, 502, 590",,,,,
Bordeaux,RPA Notre Temps,"28 - 30 Rue Neuve  33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV807908,,"242, 278, 300, 301, 302, 321, 501, 502",,,,,
Bordeaux,Club Senior Quintin,"127 Rue Quintin  33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV807909,,"243, 278, 300, 301, 302, 321, 501, 502",,,,,
Bordeaux,Club Senior Saint Augustin,"9 - 11 Allée des Peupliers  33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV807910,,"244, 278, 300, 301, 302, 321, 501, 502",,,,,
Bordeaux,Maison des Danses,"2 Rue Fleffe 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV546865,,"150, 300, 501",,,,,
Bordeaux,Espace Vert Bordeaux Centre Ville - Propreté,"15 rue Jean Renaud Dandicolle 33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV637816,,"176, 300, 501, 901",,,,,
Bordeaux,Gymnase Grand Parc III,"Rue Pierre Trébod  33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV853044,,300,,,,,
Bordeaux,Gymnase Wustenberg,"15 Rue Wustenberg  33000 BORDEAUX",,,Orange Intracité,,,,08 00 25 20 00,,VV853055,,300,,,,,
Pessac,Office Municipal des Sports,33318 30 AVENUE COL ROBERT JACQUI,,,Orange Pro,,,,3901,05.56.45.15.65,,,,,,,,
Pessac,"PLATEFORME, DES SERVICES",33318 0 RUE DE L HORLOGE,,,Orange Pro,,,,3901,05.56.15.25.60,,,,,,,,
Pessac,"POINT CYB, LA STATION",33318 4 ALLEE MONET( allé cezane),,,Orange Pro,,,,3901,05.57.02.20.20,,,,,,,,
Pessac,MAT. L'ALOUETTE,33318 21 AVENUE DU GEN LECLERC,,,Orange Pro,,,,3901,05.56.36.32.34,,,,,,,,
Pessac,MAT. BELLEGRAVE,33318 27 AVENUE ROGER COHE,,,Orange Pro,,,,3901,05.56.45.25.16,,,,,,,,
Pessac,MAT. F. MAURIAC ,33318 0 AVENUE MAR JUIN,,,Orange Pro,,,,3901,05.57.02.20.20,,,,,,,,
Pessac,MAT. GEORGES LEYGUES,33318 0 AVENUE DE LA CHATAIGNERAIE,,,Orange Pro,,,,3901,05.56.45.49.52,,,,,,,,
Pessac,MAT. JEAN CORDIER,33318 28 RUE GEORGES BIZET ,,,Orange Pro,,,,3901,05.56.98.65.42,,,,,,,,
Pessac,MAT.JOLIOT CURIE,33318 33 RUE I ET F JOLIOT CURIE,,,Orange Pro,,,,3901,05.56.36.05.72,,,,,,,,
Pessac,MAT.JULES FERRY,33318 62 AVENUE ECHOPPES,,,Orange Pro,,,,3901,05.56.45.02.41,,,,,,,,
Pessac,MAT. LA FARANDOLE ,33318 3 AVENUE FLANDRE,,,Orange Pro,,,,3901,05.57.02.20.20,,,,,,,,
Pessac,MAT. LE MONTEIL,33318 15 AVENUE HENRI FRUGES,,,Orange Pro,,,,3901,05.56.36.42.98,,,,,,,,
Pessac,MAT. LE PONTET,33318 0A RUE PAUL ELUARD,,,Orange Pro,,,,3901,05.56.45.75.61,,,,,,,,
Pessac,MAT. MONTESQUIEU,33318 0 ALLEE DES MIMOSAS,,,Orange Pro,,,,3901,05.56.45.25.88,,,,,,,,
Pessac,MAT. PAPE CLEMENT,33318 12 RUE FON DE MADRAN,,,Orange Pro,,,,3901,05.56.07.09.22,,,,,,,,
Pessac,MAT.ROLAND DORGELES,33318 1 RUE DES AUBEPINES,,,Orange Pro,,,,3901,05.56.36.08.78,,,,,,,,
Pessac,MAT.ST EXUPERY ,33318 0 RUE FERDINAND ANTOUNE,,,Orange Pro,,,,3901,05.56.45.55.07,,,,,,,,
Pessac,MAT. LE COLOMBIER,33318 43 BD DU HAUT LIVRAC,,,Orange Pro,,,,3901,05.56.36.03.71,,,,,,,,
Pessac,"PRIMAIRE, CAP DE BOS",33318 0 RUE DU COMTE,,,Orange Pro,,,,3901,05.56.36.48.44,,81.65.54.246,,,,,,
Pessac,"PRIMAIRE, EDOUARD HERRIOT",33318 21 AVENUE SAIGE,,,Orange Pro,,,,3901,05.56.45.04.92,,81.65.54.255,,,,,,
Pessac,"PRIMAIRE, G. LEYGUES",33318 0 AVENUE DE LA CHATAIGNERAIE,,,Orange Pro,,,,3901,05.56.45.54.50,,81.65.54.244,,,,,,
Pessac,"PRIMAIRE, JACQUES CARTIER",33318 37 RUE PAUL BONCOUR,,,Orange Pro,,,,3901,05.56.36.56.76,,81.65.54.251,,,,,,
Pessac,"PRIMAIRE, JEAN CORDIER",33318 24 RUE CLAUDE DEBUSSY,,,Orange Pro,,,,3901,,,,,,,,,
Pessac,"DIRECTION, MAT JEAN CORDIER",33318 22 RUE GEORGES BIZET,,,Orange Pro,,,,3901,05.57.02.20.20,,81.65.54.253,,,,,,
Pessac,"PRIMAIRE, JOLIOT CURIE",33318 2Y RUE I ET F JOLIOT CURIE,,,Orange Pro,,,,3901,05.57.02.20.20,,81.65.54.249,,,,,,
Pessac,"PRIMAIRE, JULES FERRY",33318 55 AVENUE BRIVAZAC,,,Orange Pro,,,,3901,05.56.45.25.98,,81.65.54.247,,,,,,
Pessac,"PRIMAIRE, P. CASTAING",33318 14 RUE FELIX FAURE,,,Orange Pro,,,,3901,05.56.36.30.11,,81.65.54.254,,,,,,
Pessac,"PRIMAIRE, ROLAND DORGELES",33318 5X AVE PIERRE DE COUBERTIN,,,Orange Pro,,,,3901,05.56.36.09.08,,,,,,,,
Pessac,"PRIMAIRE, SAINT EXUPERY","17 Rue Ferdinand Antoune, 33600 Pessac",,,Orange Pro,,,,3901,05.57.02.20.20,,81.65.54.240,,,,,,
