nom,snmpcontact,dns,iosv,ip,modele,marque
AH-ROH-1er-Central-Nord,admin@aerohive.com,,,192.168.24.32,HiveAP 20,Aerohive,
AH-ROH-ES-Urbanisme,admin@aerohive.com,,,192.168.24.40,HiveAP 20,Aerohive,
AH-ROH-Bureau du Maire,admin@aerohive.com,,,192.168.24.37,HiveAP 20,Aerohive,
Miroir d'eau,,,,172.20.251.13,ERS 5530-24TFD,Synoptics,
SW-Wifi parvis MEC,DGINSI,PTB-00300,,192.168.25.100,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
Hangar 14,DOI,,,172.20.251.14,Synoptics,Synoptics,
SW-Wifi miroir mat nord,DGINSI,,,192.168.25.102,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
NetScaler-BIB,WebMaster (default),citrix-ns2.mbx.fr,,172.20.106.251,Citrix NetScaler,Citrix NetScaler,
Streamcore Manager Central,support@streamcore.com,streamcore.mbx.fr,,172.20.106.249,StreamCORE,StreamCORE,
Groomer Central,support@streamcore.com,kvm-bib.mbx.fr,,172.20.251.248,StreamCORE,StreamCORE,
SW-Wifi miroir mat sud,DGINSI,,,192.168.25.114,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
AH-MEC Toit,admin@aerohive.com,,,192.168.24.204,HiveAP 20,Aerohive,
SW-ELE-Schweitzer-39,,,,172.25.39.220,Unknown,Unknown,
Maison des Jardiniers,DOI,,,172.20.251.15,Synoptics,Synoptics,
AH-Alsace,admin@aerohive.com,,,192.168.24.200,HiveAP 20,Aerohive,
AH-H14-Toit,admin@aerohive.com,,,192.168.24.201,HiveAP 20,Aerohive,
AH-Miroir Sud1,admin@aerohive.com,,,192.168.24.208,HiveAP 20,Aerohive,
AH-Martinique,admin@aerohive.com,,,192.168.24.205,HiveAP 20,Aerohive,
AH-Skate1,admin@aerohive.com,,,192.168.24.210,HiveAP 20,Aerohive,
AH-Parvis MEC2,admin@aerohive.com,,,192.168.24.203,HiveAP 20,Aerohive,
AH-Skate2,admin@aerohive.com,,,192.168.24.211,HiveAP 20,Aerohive,
AH-Skate3,admin@aerohive.com,,,192.168.24.212,HiveAP 20,Aerohive,
AH-Parvis MEC1,admin@aerohive.com,,,192.168.24.202,HiveAP 20,Aerohive,
AH-Miroir Nord1,admin@aerohive.com,,,192.168.24.206,HiveAP 20,Aerohive,
AH-Miroir Sud2,admin@aerohive.com,,,192.168.24.209,HiveAP 20,Aerohive,
AH-Miroir Nord2,admin@aerohive.com,,,192.168.24.207,HiveAP 20,Aerohive,
FH Matteo-EP,Not Set Yet,wimax-mec.mbx.fr," 5.2.11 (Date: Aug 07 2008, 14:10:36)",172.20.250.242,Alvarion Ltd.,Alvarion Ltd.,
FH EP-Matteo,Not Set Yet,wimax-h14.mbx.fr," 5.2.11 (Date: Aug 07 2008, 14:10:36)",172.20.250.243,Alvarion Ltd.,Alvarion Ltd.,
RPA Aubiers,DOI,,,172.20.149.220,Synoptics,Synoptics,
DMZ-5520-BIB,DOI,,,192.168.3.88,ERS 5520-48T-PWR,Synoptics,
SW-ELE-A.Meunier,,,,172.25.59.220,Synoptics,Synoptics,
Wimax H14 (-> CapSciences),Not Set Yet,," 6.6.2 (Date: Jun 08 2011, 17:19:27)",172.20.251.236,Alvarion Ltd.,Alvarion Ltd.,
WiMax Cap Sciences (-> H14),Not Set Yet,," 6.6.2 (Date: Jun 08 2011, 17:19:27)",172.20.251.237,Alvarion Ltd.,Alvarion Ltd.,
Wimax PTM (-> Base Sous Marine),CS_coordination@alvarion.com,,,172.20.250.226,Alvarion Ltd.,Alvarion Ltd.,
WiMax Base SM (-> PTM),CS_coordination@alvarion.com,,,172.20.250.227,Alvarion Ltd.,Alvarion Ltd.,
Wimax CNR (-> Cafe du port),Not Set Yet,," 6.6.2 (Date: Jun 08 2011, 17:19:27)",172.20.250.236,Alvarion Ltd.,Alvarion Ltd.,
Wimax Cafe du port (-> CNR),Not Set Yet,," 6.6.2 (Date: Jun 08 2011, 17:19:27)",172.20.250.237,Alvarion Ltd.,Alvarion Ltd.,
Cimetière Chartreuse-Loge,DGINSI,,,172.20.251.97,Netgear,Netgear,
AH-ANN-CAUDERAN-1er,admin@aerohive.com,ah-ann-cauderan-1er.mbx.fr,,172.20.220.181,HiveAP 20,Aerohive,
AH-ANN-CAUDERAN-RDC,admin@aerohive.com,ah-ann-cauderan-rdc.mbx.fr,,172.20.220.180,HiveAP 20,Aerohive,
AH-ANN-GRD-PARC,admin@aerohive.com,,,192.168.24.53,HiveAP 20,Aerohive,
AH-AtelierInfo-1er,admin@aerohive.com,,,192.168.24.13,HiveAP 20,Aerohive,
AH-AtelierInfo-RDC,admin@aerohive.com,,,192.168.24.26,HiveAP 20,Aerohive,
AH-CAPC-2eme,admin@aerohive.com,,,192.168.24.27,HiveAP 20,Aerohive,
AH-CAPC-RDC1,admin@aerohive.com,,,192.168.24.16,HiveAP 20,Aerohive,
AH-CAPC-RDC2,admin@aerohive.com,,,192.168.24.29,HiveAP 20,Aerohive,
AH-MEC,admin@aerohive.com,,,192.168.24.31,HiveAP 20,Aerohive,
AH-ROH-couloirPM,admin@aerohive.com,,,192.168.24.11,HiveAP 20,Aerohive,
AH-ROH-ES-DVP,admin@aerohive.com,,,192.168.24.38,HiveAP 20,Aerohive,
AH-ROH-Salon des mariages,admin@aerohive.com,,,192.168.24.35,HiveAP 20,Aerohive,
Base Sous Marine,,,,172.20.251.126,Synoptics,Synoptics,
Hangar 14-Toit,DGINSI,,,172.20.251.205,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
SW-ELE-Deyries,,,,172.25.11.220,Unknown,Unknown,
S-SQL2,,s-sql2.mbx.fr,6.0 (Build 6002 Multiprocessor Free),172.20.99.94,Windows 2008 Server,Windows,
Node,,,,172.20.251.176,Synoptics,Synoptics,
NetScaler-HDV,WebMaster (default),citrix-ns1.mbx.fr,,172.20.106.250,Citrix NetScaler,Citrix NetScaler,
AH-ROH-RDC-Accueil,admin@aerohive.com,,,192.168.24.43,HiveAP 20,Aerohive,
AH-ANN-BACALAN,admin@aerohive.com,,,192.168.24.58,HiveAP 20,Aerohive,
AH-ANN-BASTIDE-1,admin@aerohive.com,ah-ann-bastide-1.mbx.fr,,172.20.124.180,HiveAP 20,Aerohive,
AH-ANN-BDX_SUD,admin@aerohive.com,ah-ann-bdx_sud.mbx.fr,,172.20.153.180,HiveAP 20,Aerohive,
AH-CAPC-BIB,admin@aerohive.com,,,192.168.24.65,HiveAP 20,Aerohive,
ST-BRUNO-Centre-Loisirs,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.251.133,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Achard,,,,172.25.36.220,Unknown,Unknown,
Groupe Vaclav-Havel,LTxxxx-ADSL-LB-OBS-8M,,8.4(1),172.25.92.150,Cisco ASA 5505,Cisco,
AH-NODE-1,admin@aerohive.com,,,192.168.24.66,HiveAP 20,Aerohive,
AH-NODE-2,admin@aerohive.com,,,192.168.24.67,HiveAP 20,Aerohive,
SW-ELE-Paul-Lapie,,,,172.25.76.220,Unknown,Unknown,
SW-Wifi Martinique,DGINSI,,,192.168.25.104,"Moxa Technologies Co., Ltd.","Moxa Technologies Co., Ltd.",
Base sous-marine-Toit,DGINSI,,,192.168.25.105,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
VPN3-ASA,,,8.4(7),192.168.6.13,Cisco ASA 5510,Cisco,
Bib Grand Parc,DGINSI,,,172.20.251.103,Synoptics,Synoptics,
Creche Grand Parc,,,,172.20.251.104,ES 470-48T,Synoptics,
Conservatoire-Toit,DGINSI,,,192.168.25.107,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
Badgeuse LAC2 - 2,,,,172.25.85.102,Unknown,Unknown,
Badgeuse LAC2 - 1,,,,172.25.85.101,Unknown,Unknown,
DMZ-5520-HDV-ISP,DOI,,,192.168.3.90,ERS 5520-48T-PWR,Synoptics,
AH-BIB-AUBIERS-1,admin@aerohive.com,,,192.168.24.221,HiveAP 20,Aerohive,
AH-BibGdParc,admin@aerohive.com,,,192.168.24.198,HiveAP 20,Aerohive,
SW-ELE-Balguerie-16,"Hangzhou H3C Technologies Co., Ltd.",,"3.10, Release 2211P06",172.25.16.220,H3C S3100-26TP-EI,H3C,
AH-BIB-LAC-2,admin@aerohive.com,,,192.168.24.169,HiveAP 20,Aerohive,
Cimetiere-Pins-Francs,,,,172.20.209.220,Synoptics,Synoptics,
Pergola,,,,172.20.138.220,Synoptics,Synoptics,
SW-GS-Pins-Franc-Mat,,,,172.25.78.220,Unknown,Unknown,
SW-Wifi C. Julian,DGINSI,,,192.168.25.108,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
SW-Wifi St Projet,DGINSI,,,192.168.25.109,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
AH-Place Saint Projet,admin@aerohive.com,,,192.168.24.216,HiveAP 20,Aerohive,
AH-Place C. Julian,admin@aerohive.com,,,192.168.24.217,HiveAP 20,Aerohive,
SW-ELE-Bel-Air-53,,,,172.25.53.220,Unknown,Unknown,
SW-GS-Pins-Franc-Ele,,,,172.25.78.221,Unknown,Unknown,
Streamcore-Maison des danses,support@streamcore.com,,,172.20.150.219,StreamCORE,StreamCORE,
A5000 HdV,Root (root@localhost) (configure /etc/snmp/snmp.local.conf),l-aastra1.mbx.fr,,172.20.28.23,Aastra,Aastra,
A5000 Mdk,Root (root@localhost) (configure /etc/snmp/snmp.local.conf),l-aastra2.mbx.fr,,172.20.28.24,Aastra,Aastra,
UPS Leydet,,,,172.20.143.234,"Delta Electronics, Inc.","Delta Electronics, Inc.",
AX HdV1,Root (root@localhost) (configure /etc/snmp/snmp.local.conf),,,172.20.28.71,Aastra,Aastra,
AX HdV2,Root (root@localhost) (configure /etc/snmp/snmp.local.conf),,,172.20.28.75,Aastra,Aastra,
Annexe Fondaudege,,,,172.20.137.220,Synoptics,Synoptics,
Halle des Chartrons-Wifi public,DGINSI,,,192.168.25.113,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
SW-Wifi Patinoire Parking,DGNSI,,,192.168.25.111,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
SW-Mat-Schweitzer,,,,172.25.39.221,Synoptics,Synoptics,
SW-Wifi Patinoire passerelle,DGINSI,,,192.168.25.110,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
CNR-Benauge,,,"12.2(8)YJ, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.25.97.150,Cisco 806,Cisco,
CCAS-Creche-Gradignan,DOI,,,172.20.144.221,Synoptics,Synoptics,
Video-CPAM,DGINSI,,,192.168.25.117,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
Centre de Gestion-7450,Root (root@localhost) (configure /etc/snmp/snmp.local.conf),l-cdg7450.mbx.fr,,172.20.28.143,net-snmp - Linux,net-snmp,
Video-CC Grand Parc,DGINSI,,,192.168.25.118,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
Bib Armagnac,,,,172.20.251.88,Synoptics,Synoptics,
Parc Expos,,,,172.20.251.124,ERS 5510-24T,Synoptics,
Jean Moulin,,,,172.20.251.168,Synoptics,Synoptics,
Pointeuse-Aile Nord - Rohan,,,,172.20.103.245,Unknown,Unknown,
Pointeuse-CNR02,,,,172.20.238.246,Unknown,Unknown,
Pointeuse-Minimettes,,,,172.20.181.245,Unknown,Unknown,
Pointeuse-Bâtiment R+1  DGST,,,,172.20.3.245,Unknown,Unknown,
Pointeuse-Bâtiment R+4  DGST,,,,172.20.3.246,Unknown,Unknown,
Pointeuse-Musée d'Aquitaine,,,,172.20.234.245,Unknown,Unknown,
Pointeuse-Bibliothèque poste de garde,,,,172.20.35.245,Unknown,Unknown,
Pointeuse-Bibliothèque Entrée personnel,,,,172.20.35.246,Unknown,Unknown,
Pointeuse-Latule,,,,172.20.3.247,Unknown,Unknown,
Pointeuse-CNR 01,,,,172.20.238.245,Unknown,Unknown,
Pointeuse-Crèche Grand Parc,,,,172.20.193.245,Unknown,Unknown,
Pointeuse-Crèche Chartrons,,,,172.20.183.246,Unknown,Unknown,
Pointeuse-Crèche Claveau,,,,172.20.184.245,Unknown,Unknown,
Pointeuse-Crèche Arc en Ciel,,,,172.20.190.245,Unknown,Unknown,
Pointeuse-Crèche Albert Barraud,,,,172.20.192.245,Unknown,Unknown,
Pointeuse-Crèche Magendie,,,,172.20.36.245,Unknown,Unknown,
Pointeuse-Crèche Gaspard Philippe,,,,172.20.208.245,Unknown,Unknown,
Pointeuse-Crèche Benauge,,,,172.20.215.245,Unknown,Unknown,
Pointeuse-Crèche Douves,,,,172.20.207.245,Unknown,Unknown,
Pointeuse-Crèche Carle Vernet,,,,172.20.213.245,Unknown,Unknown,
Pointeuse-Crèche Ornano Cache Cache,,,,172.20.187.245,Unknown,Unknown,
Pointeuse-Crèche Saint Augustin,,,,172.20.186.245,Unknown,Unknown,
Pointeuse-Crèche Carreire,,,,172.20.189.245,Unknown,Unknown,
Pointeuse-Crèche Cité Administrative,,,,172.20.188.245,Unknown,Unknown,
Pointeuse-Crèche Armand Faulat,,,,172.20.185.245,Unknown,Unknown,
Pointeuse-Propreté Dandicolle,,,,172.20.176.245,Unknown,Unknown,
Pointeuse-Propreté Béraud sudreau,,,,172.20.200.245,Unknown,Unknown,
Pointeuse-Propreté Paludate,,,,172.20.171.245,Unknown,Unknown,
Pointeuse-Propreté Caudéran,,,,172.20.236.245,Unknown,Unknown,
Pointeuse-Ecole Beaux Arts,,,,172.20.223.245,Unknown,Unknown,
Pointeuse-Crèche Barreyre,,,,172.20.163.245,Unknown,Unknown,
Pointeuse-Jardin Botannique,,,,172.20.161.245,Unknown,Unknown,
Pointeuse-Entrepôt Lainé,,,,172.20.224.245,Unknown,Unknown,
Pointeuse-Musée Arts Décoratifs,,,,172.20.233.245,Unknown,Unknown,
Pointeuse-Musée des Beaux Arts,,,,172.20.199.245,Unknown,Unknown,
Pointeuse-Muséum,,,,172.20.175.245,Unknown,Unknown,
Pointeuse-Piscine Grand Parc,,,,172.20.226.245,Unknown,Unknown,
Pointeuse-Crèche Ste Colombe,,,,172.20.156.245,Unknown,Unknown,
Pointeuse-Crèche Malbec,,,,172.20.180.245,Unknown,Unknown,
Pointeuse-Piscine Galin,,,,172.20.235.245,Unknown,Unknown,
Pointeuse-Piscine Judaique,,,,172.20.179.245,Unknown,Unknown,
Pointeuse-Piscine Tissot,,,,172.20.178.246,Unknown,Unknown,
SW-Wifi Quai des sports,DGINSI,,,192.168.25.119,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
SW-Carles Vernet,,,,172.25.60.220,Synoptics,Synoptics,
SW-Carle Vernet2,,,,172.25.60.221,Synoptics,Synoptics,
Bib Armagnac-2,,,,172.20.251.89,Synoptics,Synoptics,
RPA-Brach,,,,172.20.135.220,Synoptics,Synoptics,
Stade Promis,,,08.0.30mbT311 Compiled on Mar  7 2017 at 01:03:34 labeled as ICX64S08030mb,10.240.1.52,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Stade Brun,DGINSI,,,10.240.1.50,"Moxa Technologies Co., Ltd.","Moxa Technologies Co., Ltd.",
AH-ROH-CMGradins,admin@aerohive.com,,,192.168.24.103,HiveAP 20,Aerohive,
AH-Athenee-Nord,admin@aerohive.com,,,192.168.24.77,HiveAP 20,Aerohive,
AH-Athenee-Sud,admin@aerohive.com,,,192.168.24.76,HiveAP 20,Aerohive,
AH-Jd Botanique 1,admin@aerohive.com,,,192.168.24.64,HiveAP 20,Aerohive,
AH-Jd Botanique 2,admin@aerohive.com,,,192.168.24.194,HiveAP 20,Aerohive,
AH-Jd Botanique 3,admin@aerohive.com,,,192.168.24.193,HiveAP 20,Aerohive,
AH-MBA Galerie 1,admin@aerohive.com,,,192.168.24.80,HiveAP 20,Aerohive,
AH-MBA Galerie 2,admin@aerohive.com,,,192.168.24.81,HiveAP 20,Aerohive,
AH-MBA Galerie 3,admin@aerohive.com,,,192.168.24.79,HiveAP 20,Aerohive,
AH-Patinoire 1,admin@aerohive.com,,,192.168.24.229,HiveAP 20,Aerohive,
AH-Patinoire 2,admin@aerohive.com,,,192.168.24.230,HiveAP 20,Aerohive,
AH-Patinoire 3,admin@aerohive.com,,,192.168.24.231,HiveAP 20,Aerohive,
AH-HdV Toit,admin@aerohive.com,,,192.168.24.213,HiveAP 20,Aerohive,
AH-Jean Moulin-Balcon,admin@aerohive.com,,,192.168.24.218,HiveAP 20,Aerohive,
AH-Victoire-1,admin@aerohive.com,,,192.168.24.219,HiveAP 20,Aerohive,
AH-Victoire-2,admin@aerohive.com,,,192.168.24.220,HiveAP 20,Aerohive,
AH-EBA-Annexe,admin@aerohive.com,,,192.168.24.225,HiveAP 20,Aerohive,
AH-EBA-Extérieur,admin@aerohive.com,,,192.168.24.226,HiveAP 20,Aerohive,
AH-CNR-Square,admin@aerohive.com,,,192.168.24.227,HiveAP 20,Aerohive,
AH-ROH-Aile Nord,admin@aerohive.com,,,192.168.24.78,HiveAP 20,Aerohive,
AH-Maison de l'Europe,admin@aerohive.com,,,192.168.24.87,HiveAP 20,Aerohive,
AH-Quai des Sports-MdJ,admin@aerohive.com,,,192.168.24.233,HiveAP 20,Aerohive,
AH-Quai des Sports,admin@aerohive.com,,,192.168.24.232,HiveAP 20,Aerohive,
Gymnase Malleret,DGINSI,,,10.240.1.54,"Moxa Technologies Co., Ltd.","Moxa Technologies Co., Ltd.",
Bib St Augustin-RDC,DOI,,,172.20.251.221,Synoptics,Synoptics,
SW-Skate Parc,DGINSI,,,192.168.25.106,"Moxa Technologies Co., Ltd.","Moxa Technologies Co., Ltd.",
Conservatoire-1er,,,07.4.00bT311 Compiled on Oct  3 2012 at 08:42:29 labeled as ICX64S07400b,172.20.251.48,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
VM-DHCP1,,vm-dhcp1.mbx.fr,6.1 (Build 7601 Multiprocessor Free),172.20.99.245,Windows 2008 R2 Server,Windows,
SW-Maternelle Albert Barraud,,,,172.25.21.220,Unknown,Unknown,
Cours du Maréchal Juin,,,07.4.00fT311 Compiled on Apr 21 2014 at 03:27:28 labeled as ICX64S07400f,172.20.251.24,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
RPA Queyries-Rue Giono,,,,172.20.251.107,Synoptics,Synoptics,
AH-Bib Meriadeck 1 Sud,admin@aerohive.com,,,192.168.24.95,HiveAP 20,Aerohive,
AH-BibMdk-3-N,admin@aerohive.com,,,192.168.24.115,HiveAP 20,Aerohive,
Bib St Augustin-2eme,,,,172.20.251.222,Synoptics,Synoptics,
MBA-AileNord-SS,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.31,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-ELE-FRANCIN-1,,,,172.25.81.220,Synoptics,Synoptics,
SW-ELE-FRANCIN-2,,,,172.25.81.221,Synoptics,Synoptics,
Maternelle-Fieffe,,,8.4(1),172.25.62.150,Cisco ASA 5505,Cisco,
Haillan-Lycée 2,DOI,,,172.20.251.230,Synoptics,Synoptics,
HdV-B43-6730-01,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.1,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B43-6730-02,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.2,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B11-6710-10,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.10,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B21-6710-22,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.22,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B22-6710-23,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.23,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B21-6740-20,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.20,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Botanique-TGBT,,,08.0.10eT7f1 Compiled on Oct 02 2014 at 18:14:31 labeled as FCXS08010e,172.20.251.33,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Office-Du-Tourisme,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.20.251.25,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Salle polyvalente des Berges du Lac,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.251.235,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Darwin,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.20.251.37,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Magasin Municipal Mutualisé MMM,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.86,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Ele-Lapie2,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.25.76.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B12-6710-11,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.11,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B14-6710-15,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.15,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B14-6710-16,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.16,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B22-6740-21,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.21,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B24-6710-27,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.27,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B24-6710-28,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.28,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
MDK-B01-6730-51,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.51,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
MDK-B01-6730-52,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.52,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
MDK-B03-6710-54,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.54,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B42-6610 Délestage,,,08.0.10hT7f3 Compiled on Feb 05 2015 at 17:00:52 labeled as FCXR08010h,172.20.252.104,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
MDK-B03-6710-55,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.55,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDV-B11-6430,,,08.0.01aT311 Compiled on Oct  9 2013 at 21:20:27 labeled as ICX64S08001a,172.20.252.100,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-Labarde,DGINSI,,,192.168.25.116,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
HdV-B14-6430,,,08.0.01aT311 Compiled on Oct  9 2013 at 21:20:27 labeled as ICX64S08001a,172.20.252.101,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B21-6430,,,08.0.01aT311 Compiled on Oct  9 2013 at 21:20:27 labeled as ICX64S08001a,172.20.252.102,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-B24-6430,,,08.0.01aT311 Compiled on Oct  9 2013 at 21:20:27 labeled as ICX64S08001a,172.20.252.103,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Jean-Cocteau,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.83.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Rohan-Central - bis,,,,172.20.251.136,ES 470-48T,Synoptics,
SW-MAT-Argonne,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.32.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Yser,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.63.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
CIAP,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.45,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
MDK-B03-6450-01,,,08.0.10hT313 Compiled on Feb  5 2015 at 16:11:26 labeled as ICX64R08010h,172.20.252.152,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-GSC-Benauge-54,,,,172.25.54.220,Unknown,Unknown,
SW-GSC-Flornoy-71,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.159,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Flornoy-71,,,07.4.00bT311 Compiled on Oct  3 2012 at 08:42:29 labeled as ICX64S07400b,172.25.71.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Ele-HenriIV,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.20.251.91,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-ELE-LOUCHEUR-52,,,07.4.00fT311 Compiled on Apr 21 2014 at 03:27:28 labeled as ICX64S07400f,172.25.52.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Vaclav-Havel-2,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.251.17,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Albet-Thomas,,,,172.25.50.220,Unknown,Unknown,
Maternelle-Noviciat,,,,172.25.59.221,Synoptics,Synoptics,
UPS-Bacalan,DGINSI,,,172.20.218.240,EX 1000 RT2U,Merlin Gerin,
SW-GSC-Thiers-55,,,,172.25.55.220,Unknown,Unknown,
G2-Bassins a Flot-1,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.46,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Lac2-87,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.87.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-OBS-MAT-Lac3-88,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.88.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
ntp1.mbx.fr,,ntp1.mbx.fr,,172.20.99.248,Unknown,Unknown,
ntp2.mbx.fr,,ntp2.mbx.fr,,172.20.99.250,Unknown,Unknown,
MaisonDesProjetsAubiers,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.20.129.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
